code,name,input_kind,advertised_purpose,verification
"S01","Strategic Identity Statement","assessment","Defines who your business is and what it stands for — the identity statement your strategy, hiring, and investment decisions should all trace back to, so growth never drifts from the brand you built.","Specific assessment API input/charging asserted"
"A27","Engagement & Culture Signals","assessment","Tracks the live signals of engagement and culture health — participation, retention, sentiment — before the exit interviews explain them.","Registered; advertised duty not independently certified"
"A28","Executive Talent Intelligence","roster","Talent intelligence for your executive level — the strength, risk, and succession picture of the top team itself.","Registered; advertised duty not independently certified"
"A29","Enterprise Integration","assessment","Assesses how well talent practice is integrated across your enterprise — one standard for hiring, growing, and promoting, or many.","Registered; advertised duty not independently certified"
"A30","Enterprise Talent Fabric","roster","Maps your talent fabric — how skills, teams, and knowledge connect across the organization, and where the weave is thin.","Registered; advertised duty not independently certified"
"A31","Enterprise Talent Flow","roster","Tracks how talent flows through your organization — hiring, internal moves, promotions, exits — and where the flow blocks.","Registered; advertised duty not independently certified"
"A32","ETOS — Enterprise Talent Operating System","assessment","Your complete people operating picture — every talent signal in the organization, unified under one system.","Registered; advertised duty not independently certified"
"Z01","Breakthrough Opportunity Mapping","assessment","Maps your breakthrough opportunities — the few changes with step-change potential, separated from the stream of incremental fixes.","Registered; advertised duty not independently certified"
"Z02","Pace of Transformation","assessment","Measures the real pace of your transformation — what has actually changed against plan, not activity that looks like progress.","Registered; advertised duty not independently certified"
"Z03","Transformation Drift Alert","assessment","Catches your transformation drifting off course — scope quietly narrowing, deadlines quietly moving — before the drift becomes the plan.","Registered; advertised duty not independently certified"
"Z04","Transformation Stability Score","assessment","Scores whether your changes stick — which transformations hold after go-live, and which snap back the moment attention moves on.","Registered; advertised duty not independently certified"
"Z05","Transformation Alignment Across Teams","assessment","Checks that every team is transforming toward the same destination — not each running its own version of the change.","Registered; advertised duty not independently certified"
"Z06","Transformation Progress Tracker","assessment","Tracks your transformation milestone by milestone — delivered, slipped, or stalled — with an owner against each.","Registered; advertised duty not independently certified"
"Z07","Transformation Identity Report","assessment","Reports what your organization is becoming — whether the transformation is changing the business, or just its slides.","Registered; advertised duty not independently certified"
"Z08","Enterprise-Wide Intelligence Summary","assessment","Summarises intelligence across your whole enterprise — the cross-cutting findings no single department can see from where it sits.","Registered; advertised duty not independently certified"
"Z09","Enterprise Consistency Check","assessment","Checks consistency across your enterprise — where policy, process, and practice diverge between units doing the same job.","Registered; advertised duty not independently certified"
"Z10","Enterprise-Wide Alignment","assessment","Measures alignment across your enterprise — strategy, teams, and investment pointing the same way, or visibly not.","Registered; advertised duty not independently certified"
"Z11","Enterprise Flow Tracker","assessment","Tracks how work, information, and decisions flow across your enterprise — and where they pool, queue, or vanish.","Registered; advertised duty not independently certified"
"Z12","Enterprise Renewal Cycle","assessment","Assesses your renewal cycle — how routinely the organization refreshes its products, processes, and people before decline forces it to.","Registered; advertised duty not independently certified"
"Z13","Enterprise Insight Index","assessment","Indexes how much usable insight your enterprise generates — and how much of it actually reaches a decision.","Registered; advertised duty not independently certified"
"Z14","Organizational Insight Consistency","assessment","Checks whether different parts of your organization draw consistent conclusions from the same facts — or contradict each other in front of customers.","Registered; advertised duty not independently certified"
"Z15","Organizational Insight Tracker","assessment","Tracks your insights from discovery to action — which findings changed something, and which died in a deck.","Registered; advertised duty not independently certified"
"P01","Productivity Mapping","timeseries","Maps where your work actually flows and where it stalls — across every team and layer of your operation.","Registered; advertised duty not independently certified"
"P02","Productivity Velocity","timeseries","Measures the speed of output across your teams — where throughput is climbing, and where it's decaying.","Registered; advertised duty not independently certified"
"P03","Productivity Drift","timeseries","Catches productivity sliding gradually — the slow leak that never triggers an alarm until the quarter misses.","Registered; advertised duty not independently certified"
"P04","Productivity Stability","timeseries","Measures how stable your output is under pressure — whether one absence, outage, or rush order breaks the week.","Registered; advertised duty not independently certified"
"P05","Productivity Balance","timeseries","Shows whether effort is balanced across your teams — who's overloaded, who's underused, and what to move.","Registered; advertised duty not independently certified"
"P06","Productivity Harmony","timeseries","Measures how well your teams' ways of working fit together — where methods mesh, and where they grind.","Registered; advertised duty not independently certified"
"P07","Productivity Coherence","timeseries","Checks your processes for coherence — one consistent way of working, or competing systems that tax every handoff.","Registered; advertised duty not independently certified"
"P08","Productivity Integration","timeseries","Assesses how well your tools, teams, and processes integrate — and where work gets retyped, re-approved, or redone between them.","Registered; advertised duty not independently certified"
"P09","Productivity Alignment","timeseries","Checks that effort aligns to your priorities — how much of your capacity is actually on the work that matters most.","Registered; advertised duty not independently certified"
"P10","Productivity Performance","timeseries","Measures output against targets across your operation — team by team, in numbers you can compare.","Registered; advertised duty not independently certified"
"P11","Productivity Excellence","timeseries","Benchmarks your productivity against excellence — the gap between your best team and the rest, and how to close it upward.","Registered; advertised duty not independently certified"
"P12","Productivity Delivery","timeseries","Measures what's actually delivered — completed, shipped, in customers' hands — not what's in progress.","Registered; advertised duty not independently certified"
"P13","Productivity Execution","timeseries","Assesses your execution discipline — whether plans convert into finished work at a predictable rate.","Registered; advertised duty not independently certified"
"P14","Productivity Optimisation","optimisation","Finds your highest-leverage productivity fixes — the constraint to lift first, ranked by impact rather than noise.","Registered; advertised duty not independently certified"
"P15","Productivity Intelligence","timeseries","Turns your productivity data into decisions — the patterns across teams and time that say what to change next.","Registered; advertised duty not independently certified"
"P16","Team Productivity","timeseries","Measures productivity at team level — output, load, and blockers for each of your teams, in one comparable view.","Registered; advertised duty not independently certified"
"P17","Collaboration","timeseries","Assesses how well your people collaborate across boundaries — where teamwork multiplies output, and where handoffs subtract from it.","Registered; advertised duty not independently certified"
"P18","Communication","timeseries","Assesses how well information moves through your organization — who's out of the loop, and what it costs you.","Registered; advertised duty not independently certified"
"P19","Engagement","timeseries","Measures how engaged your people are in the work itself — the discretionary effort that never shows up on a timesheet.","Registered; advertised duty not independently certified"
"P20","Capability","timeseries","Assesses whether your teams have the skills the work demands — and where capability gaps are masquerading as performance problems.","Registered; advertised duty not independently certified"
"P21","Process Optimisation","optimisation","Examines your core processes step by step — removing the approvals, waits, and workarounds that add time but not value.","Registered; advertised duty not independently certified"
"P22","Workflow Intelligence","timeseries","Analyses your workflows end to end — where each one stalls, loops, or gets reworked — so redesign targets facts.","Registered; advertised duty not independently certified"
"P23","Systems Productivity","timeseries","Measures whether your systems help or hinder output — the tools that save hours, and the ones that quietly consume them.","Registered; advertised duty not independently certified"
"P24","Technology Productivity","timeseries","Assesses the productivity return on your technology — what each platform contributes against what it costs to run and maintain.","Registered; advertised duty not independently certified"
"P25","Innovation Productivity","timeseries","Measures the yield of your innovation effort — ideas that reached the market against ideas that consumed budget.","Registered; advertised duty not independently certified"
"P26","Transformation","timeseries","Assesses productivity through transformation — keeping delivery standing while the organization changes underneath it.","Registered; advertised duty not independently certified"
"P27","Change","timeseries","Measures how your organization absorbs change — how fast teams return to full output after each reorganisation, tool, or process shift.","Registered; advertised duty not independently certified"
"P28","Convergence","timeseries","Tracks whether your teams' ways of working are converging on shared standards — or fragmenting into local habits.","Registered; advertised duty not independently certified"
"P29","Synchronization","timeseries","Measures how tightly work across your teams is synchronised — so dependent tasks arrive together instead of waiting on each other.","Registered; advertised duty not independently certified"
"P30","Flow","timeseries","Assesses your operation against flow — every system, team, and process moving without friction — and what stands between you and it.","Registered; advertised duty not independently certified"
"F01","Financial Visibility","financial","Gives you real-time clarity across your finances — revenue, cost, cash, and margin in one live view, instead of a month-end surprise.","Specific financial API arithmetic asserted"
"G02","Opportunity Signals","assessment","Surfaces market openings while they are still open — scored on how early, how credible, and how ready you are to act on them.","Registered; advertised duty not independently certified"
"G03","Growth Pathways","growth-pathways","Scores which growth paths are genuinely open to you against your actual capacity, not just which look attractive on a slide.","Registered; advertised duty not independently certified"
"G04","Modernisation Planning","roadmap","Assesses how ready your systems, processes and people are for the modernisation route you are considering — before you commit budget to it.","Registered; advertised duty not independently certified"
"G05","Market Intelligence","assessment","Scores how good your read on the market actually is — current, sourced and acted on, versus assumed.","Registered; advertised duty not independently certified"
"G06","Digital Maturity Model","assessment","Scores how far digital capability has actually reached — not the roadmap, the operating reality — across strategy, infrastructure, people and the customer experience it produces.","Registered; advertised duty not independently certified"
"G07","Growth Planner","roadmap","Checks whether the growth plan you are about to sign off is one your people, cash and operating rhythm can actually carry.","Registered; advertised duty not independently certified"
"G08","Advisory Console","assessment","The working view for running an advisory engagement against live growth data — how well the engagement's guidance is actually landing.","Registered; advertised duty not independently certified"
"G09","Executive Growth Report","assessment","One board-ready score for growth performance — signal quality, plan execution and realised value combined.","Registered; advertised duty not independently certified"
"F02","Budgeting & Forecasting","financial","Replaces guesswork in your numbers — budgets, forecasts, cash-flow projections and margin models that make your financial future predictable.","Registered; advertised duty not independently certified"
"F03","Financial KPI Linkage Diagnostic","financial","Links your financial KPIs to what drives them — so when a number moves, you know which operational lever moved it.","Registered; advertised duty not independently certified"
"F04","Cost Optimization Diagnostic","optimisation","Spots waste, cost leakage, and productivity gaps across your business — improving margin without cutting capability.","Registered; advertised duty not independently certified"
"F05","Enterprise Value","financial","Measures and grows what your business is worth — the value drivers behind the number your owners and board care about most.","Registered; advertised duty not independently certified"
"F06","Financial Governance","financial","Assesses your financial governance — controls, approvals, and traceability strong enough to survive an audit or a due-diligence room.","Registered; advertised duty not independently certified"
"F07","CFO Transformation","financial","Assesses your finance function's readiness to lead — from bookkeeping and reporting to the forward-looking intelligence a CFO's office should produce.","Registered; advertised duty not independently certified"
