Page,Route,Slide / section,Source paragraph,Source heading,Source body,Source CTA / links,Treatment,Current representation,Not reproduced verbatim by standard renderer,Stored in pages.json,Implementation file
21,/who-its-for/enterprises,SECTION 2,913,Shared Organizational Context,"Connect strategic priorities, operating signals, relevant information, and decisions across functions without creating another layer of noise.",,Verbatim extract,"Shared Organizational Context | Connect strategic priorities, operating signals, relevant information, and decisions across functions without creating another layer of noise.",,Yes,src/pages/ContentPage.tsx
21,/who-its-for/enterprises,SECTION 3,916,Multi-Team Execution,"Coordinate work across teams, responsibilities, dependencies, and decision boundaries while keeping ownership clear.",,Verbatim extract,"Multi-Team Execution | Coordinate work across teams, responsibilities, dependencies, and decision boundaries while keeping ownership clear.",,Yes,src/pages/ContentPage.tsx
21,/who-its-for/enterprises,SECTION 4,919,Organizational Capability,"Understand where current capability supports strategic priorities, where constraints are emerging, and what needs to strengthen next.",,Verbatim extract,"Organizational Capability | Understand where current capability supports strategic priorities, where constraints are emerging, and what needs to strengthen next.",,Yes,src/pages/ContentPage.tsx
21,/who-its-for/enterprises,SECTION 5,922,Govern Growth Without Slowing the Work,"Keep roles, permissions, review, accountability, and decision authority clear as more people and responsibilities enter the operating environment.",,Verbatim extract,"Govern Growth Without Slowing the Work | Keep roles, permissions, review, accountability, and decision authority clear as more people and responsibilities enter the operating environment.",,Yes,src/pages/ContentPage.tsx
21,/who-its-for/enterprises,SECTION 6,925,Work Across the Systems You Already Use,Bring relevant information from connected systems into the operating context without forcing teams to abandon the systems that already support their work.,,Verbatim extract,Work Across the Systems You Already Use | Bring relevant information from connected systems into the operating context without forcing teams to abandon the systems that already support their work.,,Yes,src/pages/ContentPage.tsx
21,/who-its-for/enterprises,SECTION 7,928,Coordinate an Enterprise Transformation,"Connect strategic objectives, business-unit priorities, capability readiness, workflow dependencies, governance, and review across a complex transformation program.",,Verbatim extract,"Coordinate an Enterprise Transformation | Connect strategic objectives, business-unit priorities, capability readiness, workflow dependencies, governance, and review across a complex transformation program.",,Yes,src/pages/ContentPage.tsx
21,/who-its-for/enterprises,SECTION 8,931,Enterprise Depth Without Enterprise Clutter.,"Give governance, analytics, integrations, administration, and organizational controls to the people who need them while keeping ordinary work clear and focused.",CTA: Explore LAMID ONE for Enterprise,Verbatim extract,"Enterprise Depth Without Enterprise Clutter. | Give governance, analytics, integrations, administration, and organizational controls to the people who need them while keeping ordinary work clear and focused.",,Yes,src/pages/ContentPage.tsx
22,/who-its-for/institutions,HERO,941,"Strengthen Capability, Continuity, and Decision-Making at Institutional Scale.","Operate across longer timelines, broader responsibilities, and deeper accountability while keeping human judgment and institutional context central.",CTA: Explore LAMID ONE for Institutions,Verbatim extract,"Strengthen Capability, Continuity, and Decision-Making at Institutional Scale. | Operate across longer timelines, broader responsibilities, and deeper accountability while keeping human judgment and institutional context central.",,Yes,src/pages/ContentPage.tsx
22,/who-its-for/institutions,SECTION 2,945,Institutional Clarity,"Understand complex priorities, dependencies, and long-term considerations.",,Verbatim extract,"Institutional Clarity | Understand complex priorities, dependencies, and long-term considerations.",,Yes,src/pages/ContentPage.tsx
22,/who-its-for/institutions,SECTION 3,948,Workforce Capability,See the capabilities required to support institutional objectives.,,Verbatim extract,Workforce Capability | See the capabilities required to support institutional objectives.,,Yes,src/pages/ContentPage.tsx
22,/who-its-for/institutions,SECTION 4,951,Continuity,"Preserve useful context across people, teams, and transitions.",,Verbatim extract,"Continuity | Preserve useful context across people, teams, and transitions.",,Yes,src/pages/ContentPage.tsx
22,/who-its-for/institutions,SECTION 5,954,Governance,"Support oversight, responsibility, and human review.",,Verbatim extract,"Governance | Support oversight, responsibility, and human review.",,Yes,src/pages/ContentPage.tsx
22,/who-its-for/institutions,SECTION 6,957,Responsible AI,"Apply AI according to institutional context, permissions, and accountability.",,Verbatim extract,"Responsible AI | Apply AI according to institutional context, permissions, and accountability.",,Yes,src/pages/ContentPage.tsx
22,/who-its-for/institutions,SECTION 7,960,Strengthen a Multi-Year Transformation,"Connect long-term priorities, workforce capability, governance, milestones, institutional memory, and review across leadership transitions.",,Verbatim extract,"Strengthen a Multi-Year Transformation | Connect long-term priorities, workforce capability, governance, milestones, institutional memory, and review across leadership transitions.",,Yes,src/pages/ContentPage.tsx
22,/who-its-for/institutions,SECTION 8,963,"Technology Should Strengthen the Institution, Not Blur Its Responsibility.","Use AI and organizational intelligence with clear accountability, continuity, and human oversight.",CTA: Explore LAMID ONE for Institutions,Verbatim extract,"Technology Should Strengthen the Institution, Not Blur Its Responsibility. | Use AI and organizational intelligence with clear accountability, continuity, and human oversight.",,Yes,src/pages/ContentPage.tsx
23,/enterprise,HERO,974,LAMID ONE at Organizational Scale,"Evaluate the architecture, governance, integrations, administration, security boundaries, operating depth, and deployment requirements behind an enterprise LAMID ONE environment.",CTA: Request an Organizational Demo | Talk to Our Team,Title retained; body replaced,LAMID ONE at Organizational Scale — generic availability description.,"Evaluate the architecture, governance, integrations, administration, security boundaries, operating depth, and deployment requirements behind an enterprise LAMID ONE environment.",Yes,src/pages/ContentPage.tsx
23,/enterprise,SECTION 2,978,Enterprise Architecture,"Support multiple permitted contexts, organizational workspaces, role-aware access, contextual intelligence, and organization-level controls within one coherent operating environment.",,Replaced by availability copy,No section-specific content displayed. Shared availability panel and working-feature list instead.,"Enterprise Architecture
Support multiple permitted contexts, organizational workspaces, role-aware access, contextual intelligence, and organization-level controls within one coherent operating environment.",Yes,src/pages/ContentPage.tsx
23,/enterprise,SECTION 3,981,Governance Architecture,"Define policies for people, data, AI, continuous intelligence, authorized progression, workflows, permissions, review, and organizational contexts.
Persistent Progression. Permissioned by Design. Human Controlled.",,Replaced by availability copy,No section-specific content displayed. Shared availability panel and working-feature list instead.,"Governance Architecture
Define policies for people, data, AI, continuous intelligence, authorized progression, workflows, permissions, review, and organizational contexts.
Persistent Progression. Permissioned by Design. Human Controlled.",Yes,src/pages/ContentPage.tsx
23,/enterprise,SECTION 4,985,Integration Architecture,"Connect approved systems and data sources through governed integrations with appropriate permissions, synchronization, freshness, ownership, and revocation controls.",,Replaced by availability copy,No section-specific content displayed. Shared availability panel and working-feature list instead.,"Integration Architecture
Connect approved systems and data sources through governed integrations with appropriate permissions, synchronization, freshness, ownership, and revocation controls.",Yes,src/pages/ContentPage.tsx
23,/enterprise,SECTION 5,988,Enterprise Administration,"Manage organizational membership, roles, policies, plans, integrations, workspace settings, and administrative responsibilities.",,Replaced by availability copy,No section-specific content displayed. Shared availability panel and working-feature list instead.,"Enterprise Administration
Manage organizational membership, roles, policies, plans, integrations, workspace settings, and administrative responsibilities.",Yes,src/pages/ContentPage.tsx
23,/enterprise,SECTION 6,991,Multi-Unit Deployment,"Apply common operating principles across business units while preserving appropriate organizational boundaries, local workflows, permissions, governance, and review.",,Replaced by availability copy,No section-specific content displayed. Shared availability panel and working-feature list instead.,"Multi-Unit Deployment
Apply common operating principles across business units while preserving appropriate organizational boundaries, local workflows, permissions, governance, and review.",Yes,src/pages/ContentPage.tsx
23,/enterprise,SECTION 7,994,Deployment Readiness,"Evaluate verified information on identity, access, tenant boundaries, auditability, monitoring, security, resilience, privacy, data governance, and compliance status before deployment.",,Replaced by availability copy,No section-specific content displayed. Shared availability panel and working-feature list instead.,"Deployment Readiness
Evaluate verified information on identity, access, tenant boundaries, auditability, monitoring, security, resilience, privacy, data governance, and compliance status before deployment.",Yes,src/pages/ContentPage.tsx
23,/enterprise,SECTION 8,997,Evaluate Trust & Control,"Review Security, Responsible AI, Privacy & Data, and Governance as part of the enterprise evaluation before moving into procurement or deployment planning.","Links: Security | Responsible AI | Privacy & Data | Governance
CTA: Request an Organizational Demo",Replaced by availability copy,No section-specific content displayed. Shared availability panel and working-feature list instead.,"Evaluate Trust & Control
Review Security, Responsible AI, Privacy & Data, and Governance as part of the enterprise evaluation before moving into procurement or deployment planning.",Yes,src/pages/ContentPage.tsx
24,/security,HERO,1009,Security Should Be Verifiable.,"Evaluate the controls protecting identity, authorization, data, integrations, AI-assisted actions, commercial activity, infrastructure, and operational continuity. Verified status and scope stay visible beside material claims.",CTA: Contact Security,Title retained; body replaced,Security Should Be Verifiable. — generic availability description.,"Evaluate the controls protecting identity, authorization, data, integrations, AI-assisted actions, commercial activity, infrastructure, and operational continuity. Verified status and scope stay visible beside material claims.",Yes,src/pages/ContentPage.tsx
24,/security,SECTION 2,1013,Identity & Account Protection,"Review implemented controls for authentication, phishing-resistant MFA where supported, secure recovery, session protection, step-up authentication for sensitive actions, privileged access, and automated-abuse resistance.",,Replaced by availability copy,No section-specific content displayed. Shared availability panel and working-feature list instead.,"Identity & Account Protection
Review implemented controls for authentication, phishing-resistant MFA where supported, secure recovery, session protection, step-up authentication for sensitive actions, privileged access, and automated-abuse resistance.",Yes,src/pages/ContentPage.tsx
24,/security,SECTION 3,1016,Authorization Boundaries,"Review server-side role, object-level, function-level, workspace, and tenant authorization controls designed to prevent unauthorized data access, BOLA/IDOR-style bypasses, privilege escalation, and cross-context leakage.",,Replaced by availability copy,No section-specific content displayed. Shared availability panel and working-feature list instead.,"Authorization Boundaries
Review server-side role, object-level, function-level, workspace, and tenant authorization controls designed to prevent unauthorized data access, BOLA/IDOR-style bypasses, privilege escalation, and cross-context leakage.",Yes,src/pages/ContentPage.tsx
24,/security,SECTION 4,1019,Rate Limiting & Abuse Prevention,"Review controls for brute-force attempts, credential abuse, account enumeration, bot traffic, resource exhaustion, sensitive-business-flow abuse, and rate limits appropriate to identity, APIs, workflows, verification, and high-risk actions.",,Replaced by availability copy,No section-specific content displayed. Shared availability panel and working-feature list instead.,"Rate Limiting & Abuse Prevention
Review controls for brute-force attempts, credential abuse, account enumeration, bot traffic, resource exhaustion, sensitive-business-flow abuse, and rate limits appropriate to identity, APIs, workflows, verification, and high-risk actions.",Yes,src/pages/ContentPage.tsx
24,/security,SECTION 5,1022,"Data, Files & Secrets","Review implemented encryption, key management, secrets handling, retention, backup, secure upload processing, malware scanning, archive-bomb protections, SSRF-resistant fetching, and protected-data handling.",,Replaced by availability copy,No section-specific content displayed. Shared availability panel and working-feature list instead.,"Data, Files & Secrets
Review implemented encryption, key management, secrets handling, retention, backup, secure upload processing, malware scanning, archive-bomb protections, SSRF-resistant fetching, and protected-data handling.",Yes,src/pages/ContentPage.tsx
24,/security,SECTION 6,1025,"Integrations, APIs & Webhooks","Review scoped credentials, least-privilege access, signed webhooks, timestamp validation, replay protection, idempotency, retry controls, revocation, and observable failure handling.",,Replaced by availability copy,No section-specific content displayed. Shared availability panel and working-feature list instead.,"Integrations, APIs & Webhooks
Review scoped credentials, least-privilege access, signed webhooks, timestamp validation, replay protection, idempotency, retry controls, revocation, and observable failure handling.",Yes,src/pages/ContentPage.tsx
24,/security,SECTION 7,1028,AI & Tool-Use Safety,"Review controls that constrain model and agent access to data and tools, defend against prompt-injection and tool-abuse paths, validate authorization again at execution time, and prevent an AI component from expanding its own scope or permissions.",,Replaced by availability copy,No section-specific content displayed. Shared availability panel and working-feature list instead.,"AI & Tool-Use Safety
Review controls that constrain model and agent access to data and tools, defend against prompt-injection and tool-abuse paths, validate authorization again at execution time, and prevent an AI component from expanding its own scope or permissions.",Yes,src/pages/ContentPage.tsx
24,/security,SECTION 8,1031,Commercial & Payment Boundaries,"Review approval, separation-of-duty, audit, and step-up controls around consequential commercial actions. AI-assisted verification does not independently authorize payment release by default.",,Replaced by availability copy,No section-specific content displayed. Shared availability panel and working-feature list instead.,"Commercial & Payment Boundaries
Review approval, separation-of-duty, audit, and step-up controls around consequential commercial actions. AI-assisted verification does not independently authorize payment release by default.",Yes,src/pages/ContentPage.tsx
24,/security,SECTION 9,1034,"Monitoring, Incident Response & Resilience","Review implemented logging, alerting, investigation, incident response, recovery, business-continuity, and notification processes, together with the evidence and scope that support each claim.",,Replaced by availability copy,No section-specific content displayed. Shared availability panel and working-feature list instead.,"Monitoring, Incident Response & Resilience
Review implemented logging, alerting, investigation, incident response, recovery, business-continuity, and notification processes, together with the evidence and scope that support each claim.",Yes,src/pages/ContentPage.tsx
24,/security,SECTION 10,1037,Evidence,"Testing, certifications, reports, penetration assessments, compliance statements, and reliability claims appear only when verified, current, attributable, and presented with their scope and status.",,Replaced by availability copy,No section-specific content displayed. Shared availability panel and working-feature list instead.,"Evidence
Testing, certifications, reports, penetration assessments, compliance statements, and reliability claims appear only when verified, current, attributable, and presented with their scope and status.",No,src/pages/ContentPage.tsx
24,/security,SECTION 11,1040,Security Evaluation,"Review the current control register and supporting evidence for procurement or security review. Planned, beta, limited, or unverified controls are identified by status rather than presented as production facts.",CTA: Contact Security,Replaced by availability copy,No section-specific content displayed. Shared availability panel and working-feature list instead.,"Security Evaluation
Review the current control register and supporting evidence for procurement or security review. Planned, beta, limited, or unverified controls are identified by status rather than presented as production facts.",No,src/pages/ContentPage.tsx
25,/responsible-ai,HERO,1051,AI Should Strengthen Human Judgment.,"LAMID ONE keeps intent, accountability, and consequential control with people while continuous intelligence and already-authorized work can progress over time within defined boundaries.",CTA: Read Our AI Principles,Title retained; body replaced,AI Should Strengthen Human Judgment. — generic availability description.,"LAMID ONE keeps intent, accountability, and consequential control with people while continuous intelligence and already-authorized work can progress over time within defined boundaries.",Yes,src/pages/ContentPage.tsx
25,/responsible-ai,SECTION 2,1055,Human Agency,"Context, intelligence, and authorized work may progress within permission. People retain the right to review, redirect, pause, revoke, override, and decide what happens next.",,Replaced by availability copy,No section-specific content displayed. Shared availability panel and working-feature list instead.,"Human Agency
Context, intelligence, and authorized work may progress within permission. People retain the right to review, redirect, pause, revoke, override, and decide what happens next.",Yes,src/pages/ContentPage.tsx
25,/responsible-ai,SECTION 3,1058,Explainability,"See relevant reasoning, context, assumptions, and sources where applicable.",,Replaced by availability copy,No section-specific content displayed. Shared availability panel and working-feature list instead.,"Explainability
See relevant reasoning, context, assumptions, and sources where applicable.",Yes,src/pages/ContentPage.tsx
25,/responsible-ai,SECTION 4,1061,Uncertainty,Show confidence only where the method justifies it. Avoid false precision.,,Replaced by availability copy,No section-specific content displayed. Shared availability panel and working-feature list instead.,"Uncertainty
Show confidence only where the method justifies it. Avoid false precision.",Yes,src/pages/ContentPage.tsx
25,/responsible-ai,SECTION 5,1064,Context & Privacy,"Use only information, connected sources, and progression scopes permitted for the task, workspace, or organization. No permission expands itself.",,Replaced by availability copy,No section-specific content displayed. Shared availability panel and working-feature list instead.,"Context & Privacy
Use only information, connected sources, and progression scopes permitted for the task, workspace, or organization. No permission expands itself.",Yes,src/pages/ContentPage.tsx
25,/responsible-ai,SECTION 6,1067,Memory & Continuity Control,"Review, edit, disable, or delete remembered context; control eligible progression permissions; and revoke them where available.",,Replaced by availability copy,No section-specific content displayed. Shared availability panel and working-feature list instead.,"Memory & Continuity Control
Review, edit, disable, or delete remembered context; control eligible progression permissions; and revoke them where available.",Yes,src/pages/ContentPage.tsx
25,/responsible-ai,SECTION 7,1070,Evaluation,Measure model and prompt quality instead of assuming it.,,Replaced by availability copy,No section-specific content displayed. Shared availability panel and working-feature list instead.,"Evaluation
Measure model and prompt quality instead of assuming it.",Yes,src/pages/ContentPage.tsx
25,/responsible-ai,SECTION 8,1073,No Permission Expands Itself,Permission to observe is not permission to act. Permission to analyze is not permission to approve. Permission for one workflow does not authorize another.,,Replaced by availability copy,No section-specific content displayed. Shared availability panel and working-feature list instead.,"No Permission Expands Itself
Permission to observe is not permission to act. Permission to analyze is not permission to approve. Permission for one workflow does not authorize another.",Yes,src/pages/ContentPage.tsx
25,/responsible-ai,SECTION 9,1076,Human Override,"Authorized users can review, redirect, pause, revoke, or override progression. Reversible actions should support rollback or restoration where technically possible.
SECTION 10",,Replaced by availability copy,No section-specific content displayed. Shared availability panel and working-feature list instead.,"Human Override
Authorized users can review, redirect, pause, revoke, or override progression. Reversible actions should support rollback or restoration where technically possible.
SECTION 10",Yes,src/pages/ContentPage.tsx
25,/responsible-ai,SECTION 10 / SECTION - AUTHORITY BANDS,1080,Progression Does Not Equal Unlimited Authority,"Observe & Update - permitted context ingestion, synchronization, recalculation, status refresh, pattern detection, and analysis.
Progress Within Authorization - already-approved workflow steps, scheduled processing, defined notifications, and explicitly delegated work within scope.
Consequential Commitment - financial, legal, strategic, external, permission-changing, reputational, or irreversible actions pause for human approval unless that exact authority was explicitly delegated in advance under policy.
A lower authority band never silently becomes a higher one.
Review a Consequential Recommendation
Inspect the context, reasoning, progressed activity, governing permission, uncertainty, and required approval before the recommendation becomes consequential action.
SECTION 11",,Replaced by availability copy,No section-specific content displayed. Shared availability panel and working-feature list instead.,"Progression Does Not Equal Unlimited Authority
Observe & Update - permitted context ingestion, synchronization, recalculation, status refresh, pattern detection, and analysis.
Progress Within Authorization - already-approved workflow steps, scheduled processing, defined notifications, and explicitly delegated work within scope.
Consequential Commitment - financial, legal, strategic, external, permission-changing, reputational, or irreversible actions pause for human approval unless that exact authority was explicitly delegated in advance under policy.
A lower authority band never silently becomes a higher one.
Review a Consequential Recommendation
Inspect the context, reasoning, progressed activity, governing permission, uncertainty, and required approval before the recommendation becomes consequential action.
SECTION 11",No,src/pages/ContentPage.tsx
25,/responsible-ai,SECTION 11 / SECTION - ADVERSARIAL RESILIENCE,1089,AI Safety Includes the Systems Around the Model,"Model evaluation must be paired with authorization, data-boundary checks, prompt-injection resistance, tool-use constraints, safe handling of untrusted content, auditability, and human-control points for consequential actions.
More Capable AI Requires More Deliberate Governance.
Increase evaluation, freshness checks, explanation, permission controls, override paths, auditability, and human review as persistent progression influences more consequential work.",CTA: Read Our AI Principles,Replaced by availability copy,No section-specific content displayed. Shared availability panel and working-feature list instead.,"AI Safety Includes the Systems Around the Model
Model evaluation must be paired with authorization, data-boundary checks, prompt-injection resistance, tool-use constraints, safe handling of untrusted content, auditability, and human-control points for consequential actions.
More Capable AI Requires More Deliberate Governance.
Increase evaluation, freshness checks, explanation, permission controls, override paths, auditability, and human review as persistent progression influences more consequential work.",No,src/pages/ContentPage.tsx
26,/trust/privacy,HERO,1102,Your Context Deserves Clear Boundaries.,"Understand what information LAMID ONE uses, what may progress or update over time, which permission allows it, where it belongs, and what controls apply.",CTA: View Data Controls,Title retained; body replaced,Your Context Deserves Clear Boundaries. — generic availability description.,"Understand what information LAMID ONE uses, what may progress or update over time, which permission allows it, where it belongs, and what controls apply.",Yes,src/pages/ContentPage.tsx
26,/trust/privacy,SECTION 2,1106,What Information Is Used,"Account, workspace, interaction, uploaded, connected-source, and usage information are handled according to the service and permissions that apply.",,Replaced by availability copy,No section-specific content displayed. Shared availability panel and working-feature list instead.,"What Information Is Used
Account, workspace, interaction, uploaded, connected-source, and usage information are handled according to the service and permissions that apply.",Yes,src/pages/ContentPage.tsx
26,/trust/privacy,SECTION 3,1109,Why It Is Used,"Information is used for defined purposes such as delivering the service, supporting workflows, maintaining security, and improving permitted product behavior.",,Replaced by availability copy,No section-specific content displayed. Shared availability panel and working-feature list instead.,"Why It Is Used
Information is used for defined purposes such as delivering the service, supporting workflows, maintaining security, and improving permitted product behavior.",Yes,src/pages/ContentPage.tsx
26,/trust/privacy,SECTION 4,1112,Personal and Organizational Context,"Personal, team, and organizational information is separated according to the relevant workspace, role, and permissions.",,Replaced by availability copy,No section-specific content displayed. Shared availability panel and working-feature list instead.,"Personal and Organizational Context
Personal, team, and organizational information is separated according to the relevant workspace, role, and permissions.",Yes,src/pages/ContentPage.tsx
26,/trust/privacy,SECTION 5,1115,Memory,"Where memory is available, understand what may be retained and the controls available to review, correct, disable, or delete it.",,Replaced by availability copy,No section-specific content displayed. Shared availability panel and working-feature list instead.,"Memory
Where memory is available, understand what may be retained and the controls available to review, correct, disable, or delete it.",Yes,src/pages/ContentPage.tsx
26,/trust/privacy,SECTION 6,1118,"Retention, Export, and Deletion","See the retention rules, export routes, deletion processes, and applicable exceptions for the service you use.",,Replaced by availability copy,No section-specific content displayed. Shared availability panel and working-feature list instead.,"Retention, Export, and Deletion
See the retention rules, export routes, deletion processes, and applicable exceptions for the service you use.",Yes,src/pages/ContentPage.tsx
26,/trust/privacy,SECTION 7,1121,AI Data Use,"Understand how permitted information may be used for inference, evaluation, support, service improvement, background context updates, or authorized progression where applicable.",,Replaced by availability copy,No section-specific content displayed. Shared availability panel and working-feature list instead.,"AI Data Use
Understand how permitted information may be used for inference, evaluation, support, service improvement, background context updates, or authorized progression where applicable.",Yes,src/pages/ContentPage.tsx
26,/trust/privacy,SECTION 8,1124,Review Your Data Footprint,"See what information is available, where it came from, what it supports, and which controls you can use.",CTA: View Data Controls,Replaced by availability copy,No section-specific content displayed. Shared availability panel and working-feature list instead.,"Review Your Data Footprint
See what information is available, where it came from, what it supports, and which controls you can use.",Yes,src/pages/ContentPage.tsx
27,/trust/governance,HERO,1135,Capability Needs Accountability.,"As LAMID ONE becomes more capable and more continuous, governance must make progression, permission, authority, override, and accountability clearer - without making everyday use harder to understand.",CTA: Explore Enterprise Platform & Deployment,Title retained; body replaced,Capability Needs Accountability. — generic availability description.,"As LAMID ONE becomes more capable and more continuous, governance must make progression, permission, authority, override, and accountability clearer - without making everyday use harder to understand.",Yes,src/pages/ContentPage.tsx
27,/trust/governance,SECTION 2,1139,Experience Governance,"Keep clarity, progressive disclosure, guidance, pacing, and audience coherence consistent as the experience adapts.",,Replaced by availability copy,No section-specific content displayed. Shared availability panel and working-feature list instead.,"Experience Governance
Keep clarity, progressive disclosure, guidance, pacing, and audience coherence consistent as the experience adapts.",Yes,src/pages/ContentPage.tsx
27,/trust/governance,SECTION 3,1142,Product Governance,"Define capability boundaries, eligibility, the conditions under which deeper functionality becomes available, what may progress without active interaction, and how users can stop or redirect it.",,Replaced by availability copy,No section-specific content displayed. Shared availability panel and working-feature list instead.,"Product Governance
Define capability boundaries, eligibility, the conditions under which deeper functionality becomes available, what may progress without active interaction, and how users can stop or redirect it.",Yes,src/pages/ContentPage.tsx
27,/trust/governance,SECTION 4,1145,Organizational Governance,"Control roles, permissions, delegation, workflows, approvals, override rights, revocation, and accountability inside organizations.",,Replaced by availability copy,No section-specific content displayed. Shared availability panel and working-feature list instead.,"Organizational Governance
Control roles, permissions, delegation, workflows, approvals, override rights, revocation, and accountability inside organizations.",Yes,src/pages/ContentPage.tsx
27,/trust/governance,SECTION 5,1148,Platform Governance,"Govern APIs, schemas, releases, security, performance, reliability, and documentation as the platform evolves.",,Replaced by availability copy,No section-specific content displayed. Shared availability panel and working-feature list instead.,"Platform Governance
Govern APIs, schemas, releases, security, performance, reliability, and documentation as the platform evolves.",Yes,src/pages/ContentPage.tsx
27,/trust/governance,SECTION 6,1151,AI Governance,"Control model use, prompts, data access, background updating, authorized progression, recommendations, evaluation, guardrails, uncertainty, human override, and approval.",,Replaced by availability copy,No section-specific content displayed. Shared availability panel and working-feature list instead.,"AI Governance
Control model use, prompts, data access, background updating, authorized progression, recommendations, evaluation, guardrails, uncertainty, human override, and approval.",Yes,src/pages/ContentPage.tsx
27,/trust/governance,SECTION 7,1154,Continuous Intelligence Governance,"Define which sources and workflows may progress in the background, how permission, freshness, provenance, and prior state are shown, when users are notified, what can be overridden or reversed, what requires approval, and how material progression is audited.",,Replaced by availability copy,No section-specific content displayed. Shared availability panel and working-feature list instead.,"Continuous Intelligence Governance
Define which sources and workflows may progress in the background, how permission, freshness, provenance, and prior state are shown, when users are notified, what can be overridden or reversed, what requires approval, and how material progression is audited.",Yes,src/pages/ContentPage.tsx
27,/trust/governance,SECTION 8,1157,Persistent Progression Governance,"All progression must be permissioned, scoped, revocable, traceable, interruptible, and non-expanding. The system must record what progressed, under which permission, and what state resulted.
No permission expands itself. Permission to observe does not become permission to act; permission to analyze does not become permission to approve; and authority over one workflow does not silently spread to another.",,Replaced by availability copy,No section-specific content displayed. Shared availability panel and working-feature list instead.,"Persistent Progression Governance
All progression must be permissioned, scoped, revocable, traceable, interruptible, and non-expanding. The system must record what progressed, under which permission, and what state resulted.
No permission expands itself. Permission to observe does not become permission to act; permission to analyze does not become permission to approve; and authority over one workflow does not silently spread to another.",Yes,src/pages/ContentPage.tsx
27,/trust/governance,SECTION 9,1161,Override & Reversal,"Authorized humans can redirect, pause, revoke, or override progression. Where technically possible, reversible changes should support rollback; irreversible or materially consequential actions require appropriate approval or explicit prior delegation.",,Replaced by availability copy,No section-specific content displayed. Shared availability panel and working-feature list instead.,"Override & Reversal
Authorized humans can redirect, pause, revoke, or override progression. Where technically possible, reversible changes should support rollback; irreversible or materially consequential actions require appropriate approval or explicit prior delegation.",Yes,src/pages/ContentPage.tsx
27,/trust/governance,SECTION 10,1164,Govern a Consequential Workflow,"Apply role permissions, data boundaries, AI policy, delegation limits, human approval, override rights, workflow controls, and audit requirements before consequential execution.",,Replaced by availability copy,No section-specific content displayed. Shared availability panel and working-feature list instead.,"Govern a Consequential Workflow
Apply role permissions, data boundaries, AI policy, delegation limits, human approval, override rights, workflow controls, and audit requirements before consequential execution.",No,src/pages/ContentPage.tsx
27,/trust/governance,SECTION 11,1167,Connected Governance. Clear Responsibilities.,"Keep experience, product, organizational, platform, and AI governance coordinated while preserving clear responsibilities.",CTA: Explore Enterprise Platform & Deployment,Replaced by availability copy,No section-specific content displayed. Shared availability panel and working-feature list instead.,"Connected Governance. Clear Responsibilities.
Keep experience, product, organizational, platform, and AI governance coordinated while preserving clear responsibilities.",No,src/pages/ContentPage.tsx
28,/pricing,HERO,1178,Start With the Depth You Need.,"Use the same operating system at the level that fits your current context. Expand as your work, team, or organization grows.",CTA: View Plan Details | Talk to Our Team,Replaced by availability copy,Start with what you need. — generic availability description.,"Start With the Depth You Need.
Use the same operating system at the level that fits your current context. Expand as your work, team, or organization grows.",Yes,src/pages/ContentPage.tsx
28,/pricing,SECTION 2,1182,Personal,"Start with the core individual experience for clarity, capability, rhythm, and progress.",,Replaced by availability copy,No section-specific content displayed. Shared availability panel and working-feature list instead.,"Personal
Start with the core individual experience for clarity, capability, rhythm, and progress.",Yes,src/pages/ContentPage.tsx
28,/pricing,SECTION 3,1185,Professional,"Add deeper professional context, history, guidance, opportunity, and execution support.",,Replaced by availability copy,No section-specific content displayed. Shared availability panel and working-feature list instead.,"Professional
Add deeper professional context, history, guidance, opportunity, and execution support.",Yes,src/pages/ContentPage.tsx
28,/pricing,SECTION 4,1188,Team,"Add shared priorities, collaboration, team rhythm, capability, and coordinated execution.",,Replaced by availability copy,No section-specific content displayed. Shared availability panel and working-feature list instead.,"Team
Add shared priorities, collaboration, team rhythm, capability, and coordinated execution.",Yes,src/pages/ContentPage.tsx
28,/pricing,SECTION 5,1191,Business,"Add deeper operational, financial, people, opportunity, and workflow intelligence.",,Replaced by availability copy,No section-specific content displayed. Shared availability panel and working-feature list instead.,"Business
Add deeper operational, financial, people, opportunity, and workflow intelligence.",Yes,src/pages/ContentPage.tsx
28,/pricing,SECTION 6,1194,Enterprise & Institution,"Add organizational governance, analytics, administration, integrations, security requirements, and scale.",,Replaced by availability copy,No section-specific content displayed. Shared availability panel and working-feature list instead.,"Enterprise & Institution
Add organizational governance, analytics, administration, integrations, security requirements, and scale.",Yes,src/pages/ContentPage.tsx
28,/pricing,SECTION 7,1197,Grow Without Replatforming,"Start with the context you need now and expand depth, collaboration, control, and governance as requirements increase.",,Replaced by availability copy,No section-specific content displayed. Shared availability panel and working-feature list instead.,"Grow Without Replatforming
Start with the context you need now and expand depth, collaboration, control, and governance as requirements increase.",Yes,src/pages/ContentPage.tsx
28,/pricing,SECTION 8,1200,Expand the OS - Not a Collection of Separate Products.,"Pricing follows access, depth, collaboration, control, and scale inside the same LAMID ONE experience.",CTA: View Plan Details,Replaced by availability copy,No section-specific content displayed. Shared availability panel and working-feature list instead.,"Expand the OS - Not a Collection of Separate Products.
Pricing follows access, depth, collaboration, control, and scale inside the same LAMID ONE experience.",Yes,src/pages/ContentPage.tsx
